property,count
genre=Beauty;price_bucket_range=[0-5];,798
genre=Art & Design;rating_bucket_range=[10000-20000];,5
genre=Art & Design;rating_bucket_range=[0-10000];,2111
genre=Art & Design;rating_bucket_range=[20000-30000];,2
genre=Entertainment;rating_bucket_range=[0-10000];,3
genre=Personalization;rating_bucket_range=[0-10000];,8
genre=Photography;rating_bucket_range=[0-10000];,3
genre=Events;rating_bucket_range=[0-10000];,2
genre=Auto & Vehicles;rating_bucket_range=[0-10000];,1036
genre=Auto & Vehicles;rating_bucket_range=[10000-20000];,2
genre=Beauty;rating_bucket_range=[0-10000];,799
genre=Art & Design;score_bucket_range=[4-5];,126
genre=Art & Design;score_bucket_range=[3-4];,39
genre=Art & Design;score_bucket_range=[0-1];,1934
genre=Art & Design;score_bucket_range=[2-3];,13
genre=Art & Design;score_bucket_range=[1-2];,9
genre=Entertainment;score_bucket_range=[0-1];,2
genre=Personalization;score_bucket_range=[0-1];,8
genre=Photography;score_bucket_range=[0-1];,2
genre=Events;score_bucket_range=[0-1];,2
genre=Auto & Vehicles;score_bucket_range=[4-5];,28
genre=Auto & Vehicles;score_bucket_range=[0-1];,993
genre=Auto & Vehicles;score_bucket_range=[3-4];,15
genre=Auto & Vehicles;score_bucket_range=[2-3];,2
genre=Auto & Vehicles;score_bucket_range=[1-2];,2
genre=Beauty;score_bucket_range=[0-1];,775
genre=Beauty;score_bucket_range=[4-5];,12
genre=Beauty;score_bucket_range=[3-4];,8
genre=Beauty;score_bucket_range=[2-3];,3
adSupported=1;containsAds=1;,2557
adSupported=0;containsAds=0;,1425
adSupported=1;year_bucket_range=[2014-2015];,9
adSupported=0;year_bucket_range=[2012-2013];,3
adSupported=0;year_bucket_range=[2014-2015];,8
adSupported=1;year_bucket_range=[2016-2017];,103
adSupported=0;year_bucket_range=[2016-2017];,38
adSupported=0;year_bucket_range=[2018-2019];,238
adSupported=1;year_bucket_range=[2018-2019];,641
adSupported=0;year_bucket_range=[2020-2021];,343
adSupported=1;year_bucket_range=[2020-2021];,575
adSupported=1;year_bucket_range=[2022-2023];,1228
adSupported=0;year_bucket_range=[2022-2023];,795
adSupported=1;install_bucket_range=[1000000-1100000];,14
adSupported=1;install_bucket_range=[500000-600000];,10
adSupported=1;install_bucket_range=[0-100000];,2458
adSupported=0;install_bucket_range=[0-100000];,1411
adSupported=1;install_bucket_range=[100000-200000];,69
adSupported=1;install_bucket_range=[5000000-5100000];,5
adSupported=0;install_bucket_range=[100000-200000];,13
adSupported=1;price_bucket_range=[0-5];,2555
adSupported=0;price_bucket_range=[0-5];,1390
adSupported=0;price_bucket_range=[5-10];,23
adSupported=0;price_bucket_range=[10-15];,5
adSupported=0;price_bucket_range=[15-20];,4
adSupported=1;rating_bucket_range=[10000-20000];,6
adSupported=1;rating_bucket_range=[0-10000];,2544
adSupported=0;rating_bucket_range=[0-10000];,1424
adSupported=1;rating_bucket_range=[20000-30000];,2
adSupported=1;score_bucket_range=[4-5];,139
adSupported=1;score_bucket_range=[3-4];,47
adSupported=0;score_bucket_range=[4-5];,29
adSupported=0;score_bucket_range=[0-1];,1376
adSupported=1;score_bucket_range=[0-1];,2345
adSupported=1;score_bucket_range=[2-3];,17
adSupported=1;score_bucket_range=[1-2];,9
adSupported=0;score_bucket_range=[3-4];,16
adSupported=0;score_bucket_range=[1-2];,3
containsAds=1;year_bucket_range=[2014-2015];,9
containsAds=0;year_bucket_range=[2012-2013];,3
containsAds=0;year_bucket_range=[2014-2015];,8
containsAds=1;year_bucket_range=[2016-2017];,103
containsAds=0;year_bucket_range=[2016-2017];,38
containsAds=0;year_bucket_range=[2018-2019];,238
containsAds=1;year_bucket_range=[2018-2019];,641
containsAds=0;year_bucket_range=[2020-2021];,343
containsAds=1;year_bucket_range=[2020-2021];,575
containsAds=1;year_bucket_range=[2022-2023];,1228
containsAds=0;year_bucket_range=[2022-2023];,795
containsAds=1;install_bucket_range=[1000000-1100000];,14
containsAds=1;install_bucket_range=[500000-600000];,10
containsAds=1;install_bucket_range=[0-100000];,2458
containsAds=0;install_bucket_range=[0-100000];,1411
containsAds=1;install_bucket_range=[100000-200000];,69
containsAds=1;install_bucket_range=[5000000-5100000];,5
containsAds=0;install_bucket_range=[100000-200000];,13
containsAds=1;price_bucket_range=[0-5];,2555
containsAds=0;price_bucket_range=[0-5];,1390
containsAds=0;price_bucket_range=[5-10];,23
containsAds=0;price_bucket_range=[10-15];,5
containsAds=0;price_bucket_range=[15-20];,4
containsAds=1;rating_bucket_range=[10000-20000];,6
containsAds=1;rating_bucket_range=[0-10000];,2544
containsAds=0;rating_bucket_range=[0-10000];,1424
containsAds=1;rating_bucket_range=[20000-30000];,2
containsAds=1;score_bucket_range=[4-5];,139
containsAds=1;score_bucket_range=[3-4];,47
containsAds=0;score_bucket_range=[4-5];,29
containsAds=0;score_bucket_range=[0-1];,1376
containsAds=1;score_bucket_range=[0-1];,2345
containsAds=1;score_bucket_range=[2-3];,17
containsAds=1;score_bucket_range=[1-2];,9
containsAds=0;score_bucket_range=[3-4];,16
containsAds=0;score_bucket_range=[1-2];,3
year_bucket_range=[2014-2015];install_bucket_range=[1000000-1100000];,2
year_bucket_range=[2014-2015];install_bucket_range=[0-100000];,10
year_bucket_range=[2012-2013];install_bucket_range=[0-100000];,2
year_bucket_range=[2016-2017];install_bucket_range=[0-100000];,119
year_bucket_range=[2016-2017];install_bucket_range=[100000-200000];,17
year_bucket_range=[2016-2017];install_bucket_range=[500000-600000];,3
year_bucket_range=[2018-2019];install_bucket_range=[0-100000];,822
year_bucket_range=[2018-2019];install_bucket_range=[100000-200000];,40
year_bucket_range=[2018-2019];install_bucket_range=[500000-600000];,5
year_bucket_range=[2018-2019];install_bucket_range=[1000000-1100000];,9
year_bucket_range=[2018-2019];install_bucket_range=[5000000-5100000];,3
year_bucket_range=[2020-2021];install_bucket_range=[0-100000];,894
year_bucket_range=[2022-2023];install_bucket_range=[0-100000];,2022
year_bucket_range=[2020-2021];install_bucket_range=[100000-200000];,20
year_bucket_range=[2020-2021];install_bucket_range=[1000000-1100000];,2
year_bucket_range=[2020-2021];install_bucket_range=[500000-600000];,2
year_bucket_range=[2014-2015];install_bucket_range=[100000-200000];,3
year_bucket_range=[2014-2015];price_bucket_range=[0-5];,15
year_bucket_range=[2012-2013];price_bucket_range=[0-5];,4
year_bucket_range=[2016-2017];price_bucket_range=[0-5];,140
year_bucket_range=[2018-2019];price_bucket_range=[0-5];,870
year_bucket_range=[2020-2021];price_bucket_range=[0-5];,897
year_bucket_range=[2022-2023];price_bucket_range=[0-5];,2019
year_bucket_range=[2020-2021];price_bucket_range=[10-15];,2
year_bucket_range=[2020-2021];price_bucket_range=[15-20];,3
year_bucket_range=[2020-2021];price_bucket_range=[5-10];,15
year_bucket_range=[2022-2023];price_bucket_range=[5-10];,2
year_bucket_range=[2018-2019];price_bucket_range=[5-10];,5
year_bucket_range=[2012-2013];rating_bucket_range=[0-10000];,4
year_bucket_range=[2014-2015];rating_bucket_range=[0-10000];,13
year_bucket_range=[2016-2017];rating_bucket_range=[0-10000];,140
year_bucket_range=[2018-2019];rating_bucket_range=[0-10000];,872
year_bucket_range=[2018-2019];rating_bucket_range=[10000-20000];,4
year_bucket_range=[2020-2021];rating_bucket_range=[0-10000];,916
year_bucket_range=[2022-2023];rating_bucket_range=[0-10000];,2023
year_bucket_range=[2014-2015];score_bucket_range=[4-5];,6
year_bucket_range=[2012-2013];score_bucket_range=[4-5];,2
year_bucket_range=[2014-2015];score_bucket_range=[0-1];,10
year_bucket_range=[2016-2017];score_bucket_range=[0-1];,103
year_bucket_range=[2016-2017];score_bucket_range=[3-4];,11
year_bucket_range=[2016-2017];score_bucket_range=[4-5];,23
year_bucket_range=[2016-2017];score_bucket_range=[2-3];,3
year_bucket_range=[2018-2019];score_bucket_range=[0-1];,752
year_bucket_range=[2018-2019];score_bucket_range=[3-4];,30
year_bucket_range=[2018-2019];score_bucket_range=[1-2];,7
year_bucket_range=[2018-2019];score_bucket_range=[4-5];,83
year_bucket_range=[2018-2019];score_bucket_range=[2-3];,7
year_bucket_range=[2020-2021];score_bucket_range=[0-1];,862
year_bucket_range=[2022-2023];score_bucket_range=[0-1];,1993
year_bucket_range=[2020-2021];score_bucket_range=[4-5];,32
year_bucket_range=[2020-2021];score_bucket_range=[2-3];,7
year_bucket_range=[2020-2021];score_bucket_range=[1-2];,2
