property,count
free=1;adSupported=0;rating_bucket_range=[0-10000];,1301
free=1;adSupported=1;rating_bucket_range=[20000-30000];,2
free=0;adSupported=1;rating_bucket_range=[0-10000];,4
free=1;adSupported=1;score_bucket_range=[4-5];,139
free=1;adSupported=1;score_bucket_range=[3-4];,47
free=0;adSupported=0;score_bucket_range=[4-5];,5
free=0;adSupported=0;score_bucket_range=[0-1];,113
free=1;adSupported=1;score_bucket_range=[0-1];,2341
free=1;adSupported=0;score_bucket_range=[0-1];,1263
free=1;adSupported=1;score_bucket_range=[2-3];,17
free=1;adSupported=1;score_bucket_range=[1-2];,9
free=1;adSupported=0;score_bucket_range=[4-5];,24
free=0;adSupported=0;score_bucket_range=[3-4];,5
free=1;adSupported=0;score_bucket_range=[3-4];,11
free=0;adSupported=1;score_bucket_range=[0-1];,4
free=1;adSupported=0;score_bucket_range=[1-2];,3
free=1;containsAds=1;year_bucket_range=[2014-2015];,9
free=0;containsAds=0;year_bucket_range=[2014-2015];,4
free=1;containsAds=1;year_bucket_range=[2016-2017];,103
free=1;containsAds=0;year_bucket_range=[2016-2017];,34
free=1;containsAds=0;year_bucket_range=[2018-2019];,201
free=0;containsAds=0;year_bucket_range=[2016-2017];,4
free=1;containsAds=1;year_bucket_range=[2018-2019];,641
free=0;containsAds=0;year_bucket_range=[2018-2019];,37
free=1;containsAds=0;year_bucket_range=[2020-2021];,279
free=1;containsAds=1;year_bucket_range=[2020-2021];,573
free=1;containsAds=1;year_bucket_range=[2022-2023];,1226
free=0;containsAds=0;year_bucket_range=[2020-2021];,64
free=0;containsAds=1;year_bucket_range=[2020-2021];,2
free=1;containsAds=0;year_bucket_range=[2022-2023];,782
free=0;containsAds=0;year_bucket_range=[2022-2023];,13
free=1;containsAds=0;year_bucket_range=[2012-2013];,2
free=1;containsAds=0;year_bucket_range=[2014-2015];,4
free=0;containsAds=1;year_bucket_range=[2022-2023];,2
free=1;containsAds=1;install_bucket_range=[1000000-1100000];,14
free=1;containsAds=1;install_bucket_range=[500000-600000];,10
free=1;containsAds=1;install_bucket_range=[0-100000];,2454
free=0;containsAds=0;install_bucket_range=[0-100000];,123
free=1;containsAds=1;install_bucket_range=[100000-200000];,69
free=1;containsAds=0;install_bucket_range=[0-100000];,1288
free=1;containsAds=1;install_bucket_range=[5000000-5100000];,5
free=1;containsAds=0;install_bucket_range=[100000-200000];,13
free=0;containsAds=1;install_bucket_range=[0-100000];,4
free=1;containsAds=1;price_bucket_range=[0-5];,2553
free=0;containsAds=0;price_bucket_range=[0-5];,88
free=0;containsAds=0;price_bucket_range=[5-10];,23
free=1;containsAds=0;price_bucket_range=[0-5];,1302
free=0;containsAds=0;price_bucket_range=[10-15];,5
free=0;containsAds=1;price_bucket_range=[0-5];,2
free=0;containsAds=0;price_bucket_range=[15-20];,4
free=1;containsAds=1;rating_bucket_range=[10000-20000];,6
free=1;containsAds=1;rating_bucket_range=[0-10000];,2540
free=0;containsAds=0;rating_bucket_range=[0-10000];,123
free=1;containsAds=0;rating_bucket_range=[0-10000];,1301
free=1;containsAds=1;rating_bucket_range=[20000-30000];,2
free=0;containsAds=1;rating_bucket_range=[0-10000];,4
free=1;containsAds=1;score_bucket_range=[4-5];,139
free=1;containsAds=1;score_bucket_range=[3-4];,47
free=0;containsAds=0;score_bucket_range=[4-5];,5
free=0;containsAds=0;score_bucket_range=[0-1];,113
free=1;containsAds=1;score_bucket_range=[0-1];,2341
free=1;containsAds=0;score_bucket_range=[0-1];,1263
free=1;containsAds=1;score_bucket_range=[2-3];,17
free=1;containsAds=1;score_bucket_range=[1-2];,9
free=1;containsAds=0;score_bucket_range=[4-5];,24
free=0;containsAds=0;score_bucket_range=[3-4];,5
free=1;containsAds=0;score_bucket_range=[3-4];,11
free=0;containsAds=1;score_bucket_range=[0-1];,4
free=1;containsAds=0;score_bucket_range=[1-2];,3
free=1;year_bucket_range=[2014-2015];install_bucket_range=[1000000-1100000];,2
free=1;year_bucket_range=[2014-2015];install_bucket_range=[0-100000];,6
free=0;year_bucket_range=[2014-2015];install_bucket_range=[0-100000];,4
free=1;year_bucket_range=[2016-2017];install_bucket_range=[0-100000];,115
free=1;year_bucket_range=[2016-2017];install_bucket_range=[100000-200000];,17
free=1;year_bucket_range=[2016-2017];install_bucket_range=[500000-600000];,3
free=1;year_bucket_range=[2018-2019];install_bucket_range=[0-100000];,785
free=0;year_bucket_range=[2016-2017];install_bucket_range=[0-100000];,4
free=1;year_bucket_range=[2018-2019];install_bucket_range=[100000-200000];,40
free=1;year_bucket_range=[2018-2019];install_bucket_range=[500000-600000];,5
free=0;year_bucket_range=[2018-2019];install_bucket_range=[0-100000];,37
free=1;year_bucket_range=[2018-2019];install_bucket_range=[1000000-1100000];,9
free=1;year_bucket_range=[2018-2019];install_bucket_range=[5000000-5100000];,3
free=1;year_bucket_range=[2020-2021];install_bucket_range=[0-100000];,828
free=1;year_bucket_range=[2022-2023];install_bucket_range=[0-100000];,2007
free=1;year_bucket_range=[2020-2021];install_bucket_range=[100000-200000];,20
free=0;year_bucket_range=[2020-2021];install_bucket_range=[0-100000];,66
free=1;year_bucket_range=[2020-2021];install_bucket_range=[1000000-1100000];,2
free=1;year_bucket_range=[2020-2021];install_bucket_range=[500000-600000];,2
free=0;year_bucket_range=[2022-2023];install_bucket_range=[0-100000];,15
free=1;year_bucket_range=[2014-2015];install_bucket_range=[100000-200000];,3
free=1;year_bucket_range=[2014-2015];price_bucket_range=[0-5];,13
free=1;year_bucket_range=[2012-2013];price_bucket_range=[0-5];,3
free=1;year_bucket_range=[2016-2017];price_bucket_range=[0-5];,137
free=1;year_bucket_range=[2018-2019];price_bucket_range=[0-5];,842
free=0;year_bucket_range=[2016-2017];price_bucket_range=[0-5];,3
free=0;year_bucket_range=[2018-2019];price_bucket_range=[0-5];,28
free=1;year_bucket_range=[2020-2021];price_bucket_range=[0-5];,852
free=1;year_bucket_range=[2022-2023];price_bucket_range=[0-5];,2008
free=0;year_bucket_range=[2020-2021];price_bucket_range=[0-5];,45
free=0;year_bucket_range=[2020-2021];price_bucket_range=[10-15];,2
free=0;year_bucket_range=[2020-2021];price_bucket_range=[15-20];,3
free=0;year_bucket_range=[2020-2021];price_bucket_range=[5-10];,15
free=0;year_bucket_range=[2022-2023];price_bucket_range=[0-5];,11
free=0;year_bucket_range=[2022-2023];price_bucket_range=[5-10];,2
free=0;year_bucket_range=[2014-2015];price_bucket_range=[0-5];,2
free=0;year_bucket_range=[2018-2019];price_bucket_range=[5-10];,5
free=1;year_bucket_range=[2012-2013];rating_bucket_range=[0-10000];,3
free=1;year_bucket_range=[2014-2015];rating_bucket_range=[0-10000];,9
free=0;year_bucket_range=[2014-2015];rating_bucket_range=[0-10000];,4
free=1;year_bucket_range=[2016-2017];rating_bucket_range=[0-10000];,136
free=1;year_bucket_range=[2018-2019];rating_bucket_range=[0-10000];,835
free=0;year_bucket_range=[2016-2017];rating_bucket_range=[0-10000];,4
free=1;year_bucket_range=[2018-2019];rating_bucket_range=[10000-20000];,4
free=0;year_bucket_range=[2018-2019];rating_bucket_range=[0-10000];,37
free=1;year_bucket_range=[2020-2021];rating_bucket_range=[0-10000];,850
free=1;year_bucket_range=[2022-2023];rating_bucket_range=[0-10000];,2008
free=0;year_bucket_range=[2020-2021];rating_bucket_range=[0-10000];,66
free=0;year_bucket_range=[2022-2023];rating_bucket_range=[0-10000];,15
free=1;year_bucket_range=[2014-2015];score_bucket_range=[4-5];,5
free=0;year_bucket_range=[2014-2015];score_bucket_range=[0-1];,3
free=1;year_bucket_range=[2016-2017];score_bucket_range=[0-1];,100
free=1;year_bucket_range=[2016-2017];score_bucket_range=[3-4];,11
free=1;year_bucket_range=[2016-2017];score_bucket_range=[4-5];,22
free=1;year_bucket_range=[2016-2017];score_bucket_range=[2-3];,3
free=1;year_bucket_range=[2018-2019];score_bucket_range=[0-1];,719
free=0;year_bucket_range=[2016-2017];score_bucket_range=[0-1];,3
free=1;year_bucket_range=[2018-2019];score_bucket_range=[3-4];,28
free=1;year_bucket_range=[2018-2019];score_bucket_range=[1-2];,7
free=1;year_bucket_range=[2018-2019];score_bucket_range=[4-5];,81
free=1;year_bucket_range=[2018-2019];score_bucket_range=[2-3];,7
free=0;year_bucket_range=[2018-2019];score_bucket_range=[0-1];,33
free=0;year_bucket_range=[2018-2019];score_bucket_range=[4-5];,2
free=0;year_bucket_range=[2018-2019];score_bucket_range=[3-4];,2
free=1;year_bucket_range=[2020-2021];score_bucket_range=[0-1];,799
free=1;year_bucket_range=[2022-2023];score_bucket_range=[0-1];,1978
free=1;year_bucket_range=[2020-2021];score_bucket_range=[4-5];,32
free=1;year_bucket_range=[2020-2021];score_bucket_range=[2-3];,7
free=0;year_bucket_range=[2020-2021];score_bucket_range=[0-1];,63
free=1;year_bucket_range=[2020-2021];score_bucket_range=[1-2];,2
free=1;year_bucket_range=[2020-2021];score_bucket_range=[3-4];,12
free=1;year_bucket_range=[2022-2023];score_bucket_range=[4-5];,22
free=1;year_bucket_range=[2022-2023];score_bucket_range=[3-4];,5
free=1;year_bucket_range=[2022-2023];score_bucket_range=[1-2];,2
free=0;year_bucket_range=[2022-2023];score_bucket_range=[0-1];,15
free=1;year_bucket_range=[2014-2015];score_bucket_range=[0-1];,7
free=0;year_bucket_range=[2020-2021];score_bucket_range=[3-4];,3
free=1;install_bucket_range=[1000000-1100000];price_bucket_range=[0-5];,14
free=1;install_bucket_range=[500000-600000];price_bucket_range=[0-5];,11
free=1;install_bucket_range=[0-100000];price_bucket_range=[0-5];,3742
free=0;install_bucket_range=[0-100000];price_bucket_range=[0-5];,90
free=0;install_bucket_range=[0-100000];price_bucket_range=[5-10];,24
free=1;install_bucket_range=[100000-200000];price_bucket_range=[0-5];,82
free=1;install_bucket_range=[5000000-5100000];price_bucket_range=[0-5];,5
free=0;install_bucket_range=[0-100000];price_bucket_range=[10-15];,5
free=0;install_bucket_range=[0-100000];price_bucket_range=[15-20];,5
free=1;install_bucket_range=[1000000-1100000];rating_bucket_range=[10000-20000];,4
free=1;install_bucket_range=[500000-600000];rating_bucket_range=[0-10000];,9
free=1;install_bucket_range=[0-100000];rating_bucket_range=[0-10000];,3742
free=0;install_bucket_range=[0-100000];rating_bucket_range=[0-10000];,127
free=1;install_bucket_range=[100000-200000];rating_bucket_range=[0-10000];,81
free=1;install_bucket_range=[1000000-1100000];rating_bucket_range=[0-10000];,8
free=1;install_bucket_range=[500000-600000];rating_bucket_range=[10000-20000];,2
free=1;install_bucket_range=[1000000-1100000];score_bucket_range=[4-5];,10
free=1;install_bucket_range=[500000-600000];score_bucket_range=[3-4];,3
free=1;install_bucket_range=[0-100000];score_bucket_range=[4-5];,112
free=0;install_bucket_range=[0-100000];score_bucket_range=[4-5];,5
free=0;install_bucket_range=[0-100000];score_bucket_range=[0-1];,117
free=1;install_bucket_range=[0-100000];score_bucket_range=[0-1];,3572
free=1;install_bucket_range=[100000-200000];score_bucket_range=[3-4];,15
free=1;install_bucket_range=[1000000-1100000];score_bucket_range=[3-4];,4
free=1;install_bucket_range=[0-100000];score_bucket_range=[3-4];,36
free=1;install_bucket_range=[100000-200000];score_bucket_range=[4-5];,28
free=1;install_bucket_range=[0-100000];score_bucket_range=[2-3];,12
free=1;install_bucket_range=[0-100000];score_bucket_range=[1-2];,10
free=1;install_bucket_range=[5000000-5100000];score_bucket_range=[4-5];,5
free=1;install_bucket_range=[500000-600000];score_bucket_range=[4-5];,7
free=1;install_bucket_range=[100000-200000];score_bucket_range=[0-1];,31
free=1;install_bucket_range=[100000-200000];score_bucket_range=[2-3];,6
free=1;install_bucket_range=[100000-200000];score_bucket_range=[1-2];,2
free=0;install_bucket_range=[0-100000];score_bucket_range=[3-4];,5
free=1;price_bucket_range=[0-5];rating_bucket_range=[10000-20000];,7
free=1;price_bucket_range=[0-5];rating_bucket_range=[0-10000];,3841
free=0;price_bucket_range=[0-5];rating_bucket_range=[0-10000];,90
free=0;price_bucket_range=[5-10];rating_bucket_range=[0-10000];,24
free=1;price_bucket_range=[0-5];rating_bucket_range=[20000-30000];,2
free=0;price_bucket_range=[10-15];rating_bucket_range=[0-10000];,5
free=0;price_bucket_range=[15-20];rating_bucket_range=[0-10000];,5
free=1;price_bucket_range=[0-5];score_bucket_range=[4-5];,163
free=1;price_bucket_range=[0-5];score_bucket_range=[3-4];,58
free=0;price_bucket_range=[0-5];score_bucket_range=[4-5];,4
free=0;price_bucket_range=[5-10];score_bucket_range=[0-1];,23
free=1;price_bucket_range=[0-5];score_bucket_range=[0-1];,3604
free=1;price_bucket_range=[0-5];score_bucket_range=[2-3];,18
free=1;price_bucket_range=[0-5];score_bucket_range=[1-2];,12
free=0;price_bucket_range=[0-5];score_bucket_range=[0-1];,84
free=0;price_bucket_range=[0-5];score_bucket_range=[3-4];,2
free=0;price_bucket_range=[10-15];score_bucket_range=[0-1];,4
free=0;price_bucket_range=[15-20];score_bucket_range=[0-1];,4
free=1;rating_bucket_range=[10000-20000];score_bucket_range=[4-5];,7
free=1;rating_bucket_range=[0-10000];score_bucket_range=[3-4];,58
free=1;rating_bucket_range=[0-10000];score_bucket_range=[4-5];,149
free=0;rating_bucket_range=[0-10000];score_bucket_range=[4-5];,5
free=0;rating_bucket_range=[0-10000];score_bucket_range=[0-1];,117
free=1;rating_bucket_range=[0-10000];score_bucket_range=[0-1];,3604
free=1;rating_bucket_range=[0-10000];score_bucket_range=[2-3];,18
free=1;rating_bucket_range=[0-10000];score_bucket_range=[1-2];,12
free=1;rating_bucket_range=[20000-30000];score_bucket_range=[4-5];,2
free=0;rating_bucket_range=[0-10000];score_bucket_range=[3-4];,5
genre=Art & Design;adSupported=1;containsAds=1;,1628
genre=Art & Design;adSupported=0;containsAds=0;,493
genre=Entertainment;adSupported=1;containsAds=1;,3
genre=Personalization;adSupported=1;containsAds=1;,8
genre=Photography;adSupported=1;containsAds=1;,3
genre=Events;adSupported=1;containsAds=1;,2
genre=Auto & Vehicles;adSupported=1;containsAds=1;,371
genre=Auto & Vehicles;adSupported=0;containsAds=0;,669
genre=Beauty;adSupported=0;containsAds=0;,260
genre=Beauty;adSupported=1;containsAds=1;,539
genre=Art & Design;adSupported=1;year_bucket_range=[2014-2015];,3
genre=Art & Design;adSupported=1;year_bucket_range=[2016-2017];,59
genre=Art & Design;adSupported=0;year_bucket_range=[2016-2017];,18
genre=Art & Design;adSupported=0;year_bucket_range=[2018-2019];,99
genre=Art & Design;adSupported=1;year_bucket_range=[2018-2019];,433
genre=Art & Design;adSupported=0;year_bucket_range=[2020-2021];,126
genre=Art & Design;adSupported=1;year_bucket_range=[2020-2021];,338
genre=Personalization;adSupported=1;year_bucket_range=[2020-2021];,4
genre=Art & Design;adSupported=0;year_bucket_range=[2022-2023];,248
genre=Art & Design;adSupported=1;year_bucket_range=[2022-2023];,794
genre=Photography;adSupported=1;year_bucket_range=[2020-2021];,3
genre=Personalization;adSupported=1;year_bucket_range=[2022-2023];,4
genre=Events;adSupported=1;year_bucket_range=[2022-2023];,2
genre=Auto & Vehicles;adSupported=1;year_bucket_range=[2014-2015];,4
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2012-2013];,2
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2014-2015];,4
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2016-2017];,15
genre=Auto & Vehicles;adSupported=1;year_bucket_range=[2016-2017];,13
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2018-2019];,106
genre=Auto & Vehicles;adSupported=1;year_bucket_range=[2018-2019];,81
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2020-2021];,152
genre=Auto & Vehicles;adSupported=1;year_bucket_range=[2020-2021];,79
genre=Auto & Vehicles;adSupported=1;year_bucket_range=[2022-2023];,194
genre=Auto & Vehicles;adSupported=0;year_bucket_range=[2022-2023];,390
genre=Beauty;adSupported=0;year_bucket_range=[2014-2015];,3
genre=Beauty;adSupported=1;year_bucket_range=[2014-2015];,2
genre=Beauty;adSupported=1;year_bucket_range=[2016-2017];,31
genre=Beauty;adSupported=0;year_bucket_range=[2016-2017];,5
genre=Beauty;adSupported=1;year_bucket_range=[2018-2019];,126
genre=Beauty;adSupported=0;year_bucket_range=[2018-2019];,33
genre=Beauty;adSupported=0;year_bucket_range=[2020-2021];,64
genre=Beauty;adSupported=1;year_bucket_range=[2020-2021];,150
genre=Beauty;adSupported=0;year_bucket_range=[2022-2023];,155
genre=Beauty;adSupported=1;year_bucket_range=[2022-2023];,230
genre=Art & Design;adSupported=1;install_bucket_range=[1000000-1100000];,10
genre=Art & Design;adSupported=1;install_bucket_range=[500000-600000];,7
genre=Art & Design;adSupported=1;install_bucket_range=[0-100000];,1565
genre=Art & Design;adSupported=0;install_bucket_range=[0-100000];,491
genre=Art & Design;adSupported=1;install_bucket_range=[100000-200000];,42
genre=Art & Design;adSupported=1;install_bucket_range=[5000000-5100000];,4
genre=Art & Design;adSupported=0;install_bucket_range=[100000-200000];,2
genre=Entertainment;adSupported=1;install_bucket_range=[0-100000];,3
genre=Personalization;adSupported=1;install_bucket_range=[0-100000];,8
genre=Photography;adSupported=1;install_bucket_range=[0-100000];,3
genre=Events;adSupported=1;install_bucket_range=[0-100000];,2
genre=Auto & Vehicles;adSupported=1;install_bucket_range=[0-100000];,355
genre=Auto & Vehicles;adSupported=0;install_bucket_range=[100000-200000];,9
genre=Auto & Vehicles;adSupported=0;install_bucket_range=[0-100000];,660
genre=Auto & Vehicles;adSupported=1;install_bucket_range=[100000-200000];,13
genre=Beauty;adSupported=0;install_bucket_range=[100000-200000];,2
genre=Beauty;adSupported=0;install_bucket_range=[0-100000];,257
genre=Beauty;adSupported=1;install_bucket_range=[100000-200000];,14
genre=Beauty;adSupported=1;install_bucket_range=[0-100000];,519
genre=Beauty;adSupported=1;install_bucket_range=[500000-600000];,3
genre=Beauty;adSupported=1;install_bucket_range=[1000000-1100000];,3
genre=Art & Design;adSupported=1;price_bucket_range=[0-5];,1627
genre=Art & Design;adSupported=0;price_bucket_range=[0-5];,482
genre=Art & Design;adSupported=0;price_bucket_range=[5-10];,7
genre=Entertainment;adSupported=1;price_bucket_range=[0-5];,3
genre=Personalization;adSupported=1;price_bucket_range=[0-5];,8
genre=Photography;adSupported=1;price_bucket_range=[0-5];,3
genre=Events;adSupported=1;price_bucket_range=[0-5];,2
genre=Auto & Vehicles;adSupported=1;price_bucket_range=[0-5];,370
genre=Auto & Vehicles;adSupported=0;price_bucket_range=[0-5];,646
genre=Auto & Vehicles;adSupported=0;price_bucket_range=[10-15];,4
genre=Auto & Vehicles;adSupported=0;price_bucket_range=[5-10];,15
genre=Auto & Vehicles;adSupported=0;price_bucket_range=[15-20];,4
genre=Beauty;adSupported=0;price_bucket_range=[0-5];,259
genre=Beauty;adSupported=1;price_bucket_range=[0-5];,539
genre=Art & Design;adSupported=1;rating_bucket_range=[10000-20000];,5
genre=Art & Design;adSupported=1;rating_bucket_range=[0-10000];,1618
genre=Art & Design;adSupported=0;rating_bucket_range=[0-10000];,493
genre=Art & Design;adSupported=1;rating_bucket_range=[20000-30000];,2
genre=Entertainment;adSupported=1;rating_bucket_range=[0-10000];,3
genre=Personalization;adSupported=1;rating_bucket_range=[0-10000];,8
genre=Photography;adSupported=1;rating_bucket_range=[0-10000];,3
genre=Events;adSupported=1;rating_bucket_range=[0-10000];,2
genre=Auto & Vehicles;adSupported=1;rating_bucket_range=[0-10000];,368
genre=Auto & Vehicles;adSupported=0;rating_bucket_range=[0-10000];,668
genre=Beauty;adSupported=0;rating_bucket_range=[0-10000];,260
genre=Beauty;adSupported=1;rating_bucket_range=[0-10000];,539
genre=Art & Design;adSupported=1;score_bucket_range=[4-5];,113
genre=Art & Design;adSupported=1;score_bucket_range=[3-4];,34
genre=Art & Design;adSupported=0;score_bucket_range=[4-5];,13
genre=Art & Design;adSupported=0;score_bucket_range=[0-1];,473
genre=Art & Design;adSupported=1;score_bucket_range=[0-1];,1461
genre=Art & Design;adSupported=1;score_bucket_range=[2-3];,12
genre=Art & Design;adSupported=1;score_bucket_range=[1-2];,8
genre=Art & Design;adSupported=0;score_bucket_range=[3-4];,5
genre=Entertainment;adSupported=1;score_bucket_range=[0-1];,2
genre=Personalization;adSupported=1;score_bucket_range=[0-1];,8
genre=Photography;adSupported=1;score_bucket_range=[0-1];,2
genre=Events;adSupported=1;score_bucket_range=[0-1];,2
genre=Auto & Vehicles;adSupported=1;score_bucket_range=[4-5];,13
genre=Auto & Vehicles;adSupported=1;score_bucket_range=[0-1];,350
genre=Auto & Vehicles;adSupported=1;score_bucket_range=[3-4];,6
genre=Auto & Vehicles;adSupported=0;score_bucket_range=[4-5];,15
genre=Auto & Vehicles;adSupported=0;score_bucket_range=[0-1];,643
genre=Auto & Vehicles;adSupported=1;score_bucket_range=[2-3];,2
genre=Auto & Vehicles;adSupported=0;score_bucket_range=[3-4];,9
genre=Auto & Vehicles;adSupported=0;score_bucket_range=[1-2];,2
genre=Beauty;adSupported=0;score_bucket_range=[0-1];,258
genre=Beauty;adSupported=1;score_bucket_range=[0-1];,517
genre=Beauty;adSupported=1;score_bucket_range=[4-5];,11
genre=Beauty;adSupported=1;score_bucket_range=[3-4];,7
genre=Beauty;adSupported=1;score_bucket_range=[2-3];,3
genre=Art & Design;containsAds=1;year_bucket_range=[2014-2015];,3
genre=Art & Design;containsAds=1;year_bucket_range=[2016-2017];,59
genre=Art & Design;containsAds=0;year_bucket_range=[2016-2017];,18
genre=Art & Design;containsAds=0;year_bucket_range=[2018-2019];,99
genre=Art & Design;containsAds=1;year_bucket_range=[2018-2019];,433
genre=Art & Design;containsAds=0;year_bucket_range=[2020-2021];,126
genre=Art & Design;containsAds=1;year_bucket_range=[2020-2021];,338
genre=Personalization;containsAds=1;year_bucket_range=[2020-2021];,4
genre=Art & Design;containsAds=0;year_bucket_range=[2022-2023];,248
genre=Art & Design;containsAds=1;year_bucket_range=[2022-2023];,794
genre=Photography;containsAds=1;year_bucket_range=[2020-2021];,3
genre=Personalization;containsAds=1;year_bucket_range=[2022-2023];,4
genre=Events;containsAds=1;year_bucket_range=[2022-2023];,2
genre=Auto & Vehicles;containsAds=1;year_bucket_range=[2014-2015];,4
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2012-2013];,2
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2014-2015];,4
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2016-2017];,15
genre=Auto & Vehicles;containsAds=1;year_bucket_range=[2016-2017];,13
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2018-2019];,106
genre=Auto & Vehicles;containsAds=1;year_bucket_range=[2018-2019];,81
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2020-2021];,152
genre=Auto & Vehicles;containsAds=1;year_bucket_range=[2020-2021];,79
genre=Auto & Vehicles;containsAds=1;year_bucket_range=[2022-2023];,194
genre=Auto & Vehicles;containsAds=0;year_bucket_range=[2022-2023];,390
genre=Beauty;containsAds=0;year_bucket_range=[2014-2015];,3
genre=Beauty;containsAds=1;year_bucket_range=[2014-2015];,2
genre=Beauty;containsAds=1;year_bucket_range=[2016-2017];,31
genre=Beauty;containsAds=0;year_bucket_range=[2016-2017];,5
genre=Beauty;containsAds=1;year_bucket_range=[2018-2019];,126
genre=Beauty;containsAds=0;year_bucket_range=[2018-2019];,33
genre=Beauty;containsAds=0;year_bucket_range=[2020-2021];,64
genre=Beauty;containsAds=1;year_bucket_range=[2020-2021];,150
genre=Beauty;containsAds=0;year_bucket_range=[2022-2023];,155
genre=Beauty;containsAds=1;year_bucket_range=[2022-2023];,230
genre=Art & Design;containsAds=1;install_bucket_range=[1000000-1100000];,10
genre=Art & Design;containsAds=1;install_bucket_range=[500000-600000];,7
genre=Art & Design;containsAds=1;install_bucket_range=[0-100000];,1565
genre=Art & Design;containsAds=0;install_bucket_range=[0-100000];,491
genre=Art & Design;containsAds=1;install_bucket_range=[100000-200000];,42
genre=Art & Design;containsAds=1;install_bucket_range=[5000000-5100000];,4
genre=Art & Design;containsAds=0;install_bucket_range=[100000-200000];,2
genre=Entertainment;containsAds=1;install_bucket_range=[0-100000];,3
genre=Personalization;containsAds=1;install_bucket_range=[0-100000];,8
genre=Photography;containsAds=1;install_bucket_range=[0-100000];,3
genre=Events;containsAds=1;install_bucket_range=[0-100000];,2
genre=Auto & Vehicles;containsAds=1;install_bucket_range=[0-100000];,355
genre=Auto & Vehicles;containsAds=0;install_bucket_range=[100000-200000];,9
genre=Auto & Vehicles;containsAds=0;install_bucket_range=[0-100000];,660
genre=Auto & Vehicles;containsAds=1;install_bucket_range=[100000-200000];,13
genre=Beauty;containsAds=0;install_bucket_range=[100000-200000];,2
genre=Beauty;containsAds=0;install_bucket_range=[0-100000];,257
genre=Beauty;containsAds=1;install_bucket_range=[100000-200000];,14
genre=Beauty;containsAds=1;install_bucket_range=[0-100000];,519
genre=Beauty;containsAds=1;install_bucket_range=[500000-600000];,3
genre=Beauty;containsAds=1;install_bucket_range=[1000000-1100000];,3
genre=Art & Design;containsAds=1;price_bucket_range=[0-5];,1627
genre=Art & Design;containsAds=0;price_bucket_range=[0-5];,482
genre=Art & Design;containsAds=0;price_bucket_range=[5-10];,7
genre=Entertainment;containsAds=1;price_bucket_range=[0-5];,3
genre=Personalization;containsAds=1;price_bucket_range=[0-5];,8
genre=Photography;containsAds=1;price_bucket_range=[0-5];,3
genre=Events;containsAds=1;price_bucket_range=[0-5];,2
genre=Auto & Vehicles;containsAds=1;price_bucket_range=[0-5];,370
genre=Auto & Vehicles;containsAds=0;price_bucket_range=[0-5];,646
genre=Auto & Vehicles;containsAds=0;price_bucket_range=[10-15];,4
genre=Auto & Vehicles;containsAds=0;price_bucket_range=[5-10];,15
genre=Auto & Vehicles;containsAds=0;price_bucket_range=[15-20];,4
genre=Beauty;containsAds=0;price_bucket_range=[0-5];,259
genre=Beauty;containsAds=1;price_bucket_range=[0-5];,539
genre=Art & Design;containsAds=1;rating_bucket_range=[10000-20000];,5
genre=Art & Design;containsAds=1;rating_bucket_range=[0-10000];,1618
genre=Art & Design;containsAds=0;rating_bucket_range=[0-10000];,493
genre=Art & Design;containsAds=1;rating_bucket_range=[20000-30000];,2
genre=Entertainment;containsAds=1;rating_bucket_range=[0-10000];,3
genre=Personalization;containsAds=1;rating_bucket_range=[0-10000];,8
genre=Photography;containsAds=1;rating_bucket_range=[0-10000];,3
genre=Events;containsAds=1;rating_bucket_range=[0-10000];,2
genre=Auto & Vehicles;containsAds=1;rating_bucket_range=[0-10000];,368
genre=Auto & Vehicles;containsAds=0;rating_bucket_range=[0-10000];,668
genre=Beauty;containsAds=0;rating_bucket_range=[0-10000];,260
genre=Beauty;containsAds=1;rating_bucket_range=[0-10000];,539
genre=Art & Design;containsAds=1;score_bucket_range=[4-5];,113
genre=Art & Design;containsAds=1;score_bucket_range=[3-4];,34
genre=Art & Design;containsAds=0;score_bucket_range=[4-5];,13
genre=Art & Design;containsAds=0;score_bucket_range=[0-1];,473
genre=Art & Design;containsAds=1;score_bucket_range=[0-1];,1461
genre=Art & Design;containsAds=1;score_bucket_range=[2-3];,12
genre=Art & Design;containsAds=1;score_bucket_range=[1-2];,8
genre=Art & Design;containsAds=0;score_bucket_range=[3-4];,5
genre=Entertainment;containsAds=1;score_bucket_range=[0-1];,2
genre=Personalization;containsAds=1;score_bucket_range=[0-1];,8
genre=Photography;containsAds=1;score_bucket_range=[0-1];,2
genre=Events;containsAds=1;score_bucket_range=[0-1];,2
genre=Auto & Vehicles;containsAds=1;score_bucket_range=[4-5];,13
genre=Auto & Vehicles;containsAds=1;score_bucket_range=[0-1];,350
